file,line,category,phrase,classification,severity,action,context
docs/EPIBENCH_CERTIFICATION_SOP.md,31,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,5. Normative EpiBench YAML. 6. JSON Schemas. 7. Reference implementation or compatible independent implementation.  Optional but expected for publication:  - SOTA registry entry; - evidence package README;
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,14,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `configs/epibench/epibench_v1.yaml` - `schemas/epibench/dataset_evidence_card.schema.json` - `schemas/epibench/split_manifest.schema.json` - `schemas/epibench/failure_trace.schema.json` - `schemas/epibench/result_bundle.schema.json` - `schemas/epibench/claim_eligibility.schema.json` - `schemas/epibench/sota_registry.schema.json`
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,16,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `schemas/epibench/split_manifest.schema.json` - `schemas/epibench/failure_trace.schema.json` - `schemas/epibench/result_bundle.schema.json` - `schemas/epibench/claim_eligibility.schema.json` - `schemas/epibench/sota_registry.schema.json`  ## SOTA Alignment
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,18,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `schemas/epibench/result_bundle.schema.json` - `schemas/epibench/claim_eligibility.schema.json` - `schemas/epibench/sota_registry.schema.json`  ## SOTA Alignment  - `configs/epibench/sota_registry_v1.yaml` - `configs/epibench/conformance_suite_v1.yaml`
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,21,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,## SOTA Alignment  - `configs/epibench/sota_registry_v1.yaml` - `configs/epibench/conformance_suite_v1.yaml` - `configs/epibench/submission_readiness_gate_v1.yaml` - `docs/SOTA_REVIEW_2026.md` - `docs/SOTA_CITATION_AUDIT_2026-05-18.md`
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,22,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,## SOTA Alignment  - `configs/epibench/sota_registry_v1.yaml` - `configs/epibench/conformance_suite_v1.yaml` - `configs/epibench/submission_readiness_gate_v1.yaml` - `docs/SOTA_REVIEW_2026.md` - `docs/SOTA_CITATION_AUDIT_2026-05-18.md`
docs/EPIBENCH_IMPLEMENTATION_INDEX.md,165,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `docs/EPIBENCH_RELEASE_CHECKLIST.md` - `CHANGELOG.md`  ## Smoke Commands  ```powershell python scripts\epibench.py validate-sota-registry configs\epibench\sota_registry_v1.yaml python scripts\epibench.py run-conformance-suite configs\epibench\conformance_suite_v1.yaml
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,106,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Track | D: Detection | | Split | patient-independent | | Label audit | passed or pass-with-caveats | | Failure status | transparent, no leakage | | Requested claim | E3 | | Granted claim | E2-PI | | Forbidden claims | E3, E4, home deployment, real-time if hardware absent |"
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,122,scope_or_generality,generalize,bounded,bounded,No action if context remains explicitly anti-overclaim.,"Allowed:  > Under EpiBench Track D, this run supports a patient-independent narrow detection claim on this hospital EEG dataset and sensor configuration.  Forbidden:  > The model generalizes to home seizure detection."
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,182,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Track | D or W, depending on declared task | | Split | patient-independent | | Label audit | required before E2-PD/E2-PI | | Failure status | must include device missingness and prediction failures | | Requested claim | E2-PI | | Granted claim | E2-PI if audit passes; otherwise E1 | | Forbidden claims | E3, E4, real-time/edge measured if no hardware report |"
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,188,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Forbidden claims | E3, E4, real-time/edge measured if no hardware report |  ## Reason log  E2-PI is possible only after label audit, split compliance, FAR/day, latency definition, and failure trace are complete.  E3 is blocked because there is no external validation. Edge/real-time claims are blocked if hardware evidence is absent."
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,307,scope_or_generality,generalize,bounded,bounded,No action if context remains explicitly anti-overclaim.,Allowed:  > This run supports a patient-dependent claim under the declared sensor and patient-specific calibration protocol.  Forbidden:  > The model generalizes to unseen patients.
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,332,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Track | any | | Split | noncompliant | | Label audit | may pass | | Failure status | critical leakage | | Requested claim | E2-PD/E2-PI or E3 | | Granted claim | E1 maximum | | Forbidden claims | E2-PD, E2-PI, E3, E4, SOTA |"
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,350,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,Forbidden:  > The leaked metrics show model superiority.  ---  # Example F - Real-time claim without hardware evidence
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,358,edge_or_realtime,real-time,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,"## Evidence summary  Archetype:  - valid Track D detection run; - event metrics are complete; - model authors claim real-time or edge readiness; - no target hardware latency, memory, or energy report."
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,370,edge_or_realtime,real-time,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,"| --- | --- | | Dataset tier | T1/T2 possible | | Track | D, but not E | | Split | according to manifest | | Label audit | according to audit | | Failure status | hardware evidence missing | | Requested claim | E2-PI + real-time edge | | Granted claim | non-edge claim only, e.g. E2-PI if other gates pass |"
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,372,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Track | D, but not E | | Split | according to manifest | | Label audit | according to audit | | Failure status | hardware evidence missing | | Requested claim | E2-PI + real-time edge | | Granted claim | non-edge claim only, e.g. E2-PI if other gates pass | | Forbidden claims | real-time, Edge-Measured, Streaming-Feasible |"
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,376,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| Requested claim | E2-PI + real-time edge | | Granted claim | non-edge claim only, e.g. E2-PI if other gates pass | | Forbidden claims | real-time, Edge-Measured, Streaming-Feasible |  ## Reason log  Hardware evidence is not required for all scientific claims, but it is required for edge and real-time claims."
docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md,386,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,Allowed:  > This run may support a non-edge detection claim under EpiBench Track D.  Forbidden:  > This model is real-time on IoT hardware.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,77,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,| Artefact | Type | Role | | --- | --- | --- | | `docs/EPIBENCH_SPEC_V1.md` | nouveau document normatif | source textuelle principale de la spec v1 | | `docs/EPIBENCH_PROTOCOL.md` | document existant a aligner | protocole scientifique lisible et coherent avec la spec | | `docs/EPIBENCH_PHASE1_REVIEW_CHECKLIST.md` | nouveau checklist | controle qualite avant passage Phase 2 | | `docs/EPIBENCH_PHASE1_ADJUDICATION_EXAMPLES.md` | nouveau document optionnel mais recommande | exemples de scoring MTS/DSI et claim ceiling | | SOTA alignment matrix | section spec | indique ADOPT/MAP/EXTEND/DIVERGE pour les references existantes | | tableau MTS | section spec | rubriques 0/1/2/3 itemisees |
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,95,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- **Reproductibilite**: deux reviewers doivent pouvoir appliquer la regle de la meme maniere. - **Conservatisme scientifique**: en cas d'ambiguite, le protocole doit abaisser le claim, pas l'augmenter. - **Anti-overclaim**: chaque claim interdit doit etre nomme explicitement. - **Auditabilite**: toute note MTS/DSI doit etre justifiee par une evidence referencee. - **Separation des preuves**: qualite dataset, performance modele, failures, latence et claims ne doivent pas etre fusionnes dans un score unique. - **Compatibilite future**: les decisions de Phase 1 doivent pouvoir etre encodees en YAML et JSON Schema en Phase 2. - **Non-reinvention**: toute nouvelle regle EpiBench doit adopter, mapper, etendre ou justifier sa divergence par rapport au SOTA existant."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,97,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- **Anti-overclaim**: chaque claim interdit doit etre nomme explicitement. - **Auditabilite**: toute note MTS/DSI doit etre justifiee par une evidence referencee. - **Separation des preuves**: qualite dataset, performance modele, failures, latence et claims ne doivent pas etre fusionnes dans un score unique. - **Compatibilite future**: les decisions de Phase 1 doivent pouvoir etre encodees en YAML et JSON Schema en Phase 2. - **Non-reinvention**: toute nouvelle regle EpiBench doit adopter, mapper, etendre ou justifier sa divergence par rapport au SOTA existant.  ## Work Package 0 - Ancrage SOTA et non-reinvention"
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,122,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| --- | --- | | ADOPT | EpiBench reprend directement la regle, metrique ou terminologie | | MAP | EpiBench accepte la sortie existante et la mappe vers un champ EpiBench | | EXTEND | EpiBench ajoute une couche de preuve non couverte | | DIVERGE | EpiBench diverge, avec justification explicite |  ### Sources SOTA minimales a integrer"
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,141,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| SPIRIT-AI / CONSORT-AI | prospective trial protocol/reporting, uniquement si Phase E4 | | FUTURE-AI | trustworthy/deployable healthcare AI principles | | FDA CDS guidance | prudence reglementaire autour des alertes critiques et signaux medicaux |  ### Taches  1. Creer une section ""SOTA alignment and non-reinvention rule"" dans `EPIBENCH_SPEC_V1.md`. 2. Definir le vocabulaire `ADOPT`, `MAP`, `EXTEND`, `DIVERGE`."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,143,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| FDA CDS guidance | prudence reglementaire autour des alertes critiques et signaux medicaux |  ### Taches  1. Creer une section ""SOTA alignment and non-reinvention rule"" dans `EPIBENCH_SPEC_V1.md`. 2. Definir le vocabulaire `ADOPT`, `MAP`, `EXTEND`, `DIVERGE`. 3. Ajouter une table des sources SOTA minimales et leur role. 4. Ajouter une exigence de `SOTA registry` pour Phase 2."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,144,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"### Taches  1. Creer une section ""SOTA alignment and non-reinvention rule"" dans `EPIBENCH_SPEC_V1.md`. 2. Definir le vocabulaire `ADOPT`, `MAP`, `EXTEND`, `DIVERGE`. 3. Ajouter une table des sources SOTA minimales et leur role. 4. Ajouter une exigence de `SOTA registry` pour Phase 2. 5. Relier les metriques event-based existantes a EpiBench au lieu de les renommer inutilement."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,147,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"1. Creer une section ""SOTA alignment and non-reinvention rule"" dans `EPIBENCH_SPEC_V1.md`. 2. Definir le vocabulaire `ADOPT`, `MAP`, `EXTEND`, `DIVERGE`. 3. Ajouter une table des sources SOTA minimales et leur role. 4. Ajouter une exigence de `SOTA registry` pour Phase 2. 5. Relier les metriques event-based existantes a EpiBench au lieu de les renommer inutilement. 6. Documenter ce qu'EpiBench ajoute vraiment: Evidence Card, MTS/DSI, claim gates, failure preservation, embedded viability, result bundles. 7. Ajouter une review checklist SOTA."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,151,sota_or_leaderboard,sota,requires_review,moderate,Review wording; add evidence boundary or remove unsupported claim.,"5. Relier les metriques event-based existantes a EpiBench au lieu de les renommer inutilement. 6. Documenter ce qu'EpiBench ajoute vraiment: Evidence Card, MTS/DSI, claim gates, failure preservation, embedded viability, result bundles. 7. Ajouter une review checklist SOTA.  ### Output  - Section SOTA dans `docs/EPIBENCH_SPEC_V1.md`. - Table ADOPT/MAP/EXTEND/DIVERGE."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,153,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,7. Ajouter une review checklist SOTA.  ### Output  - Section SOTA dans `docs/EPIBENCH_SPEC_V1.md`. - Table ADOPT/MAP/EXTEND/DIVERGE. - Requirement `sota_registry_entries` pour Phase 2. - Checklist de review SOTA.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,154,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,### Output  - Section SOTA dans `docs/EPIBENCH_SPEC_V1.md`. - Table ADOPT/MAP/EXTEND/DIVERGE. - Requirement `sota_registry_entries` pour Phase 2. - Checklist de review SOTA.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,161,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"### Definition of Done  - Aucune metrique EpiBench n'est introduite sans comparaison a une reference existante. - SzCORE-style event scoring est explicitement reutilise ou mappe quand compatible. - TRIPOD+AI, STARD-AI, DECIDE-AI, CONSORT-AI/SPIRIT-AI et FUTURE-AI sont positionnes correctement. - Les sources SOTA utilisees ont un statut de citation integrity. - EpiBench est formule comme couche complementaire, pas concurrent gratuit."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,168,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- EpiBench est formule comme couche complementaire, pas concurrent gratuit.  ### Tests et validation  - Pour chaque nouvelle regle Phase 1, indiquer ADOPT/MAP/EXTEND/DIVERGE. - Verifier qu'aucune divergence n'existe sans justification. - Verifier que les sources SOTA citees existent et correspondent au claim."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,172,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- Pour chaque nouvelle regle Phase 1, indiquer ADOPT/MAP/EXTEND/DIVERGE. - Verifier qu'aucune divergence n'existe sans justification. - Verifier que les sources SOTA citees existent et correspondent au claim.  ### Review  - Review bibliographique: pas de citation fantome, pas de SOTA obsoletement ignore. - Review methodologique: EpiBench complete les frameworks existants au lieu de les dupliquer."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,196,clinical_or_regulatory,clinical certification,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `failure trace`;    - `sentinel`;    - `track`;    - `result bundle`;    - `scientific certification`. 2. Interdire les termes ambigus:    - `clinical certification`;    - `clinically approved`;
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,197,clinical_or_regulatory,clinically approved,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `sentinel`;    - `track`;    - `result bundle`;    - `scientific certification`. 2. Interdire les termes ambigus:    - `clinical certification`;    - `clinically approved`;    - `safe model`;
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,200,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,- `scientific certification`. 2. Interdire les termes ambigus:    - `clinical certification`;    - `clinically approved`;    - `safe model`;    - `universal clinical standard`;    - `real-time` sans definition hardware;    - `generalizable` sans split et validation externe.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,201,scope_or_generality,generalizable,bounded,bounded,No action if context remains explicitly anti-overclaim.,"2. Interdire les termes ambigus:    - `clinical certification`;    - `clinically approved`;    - `safe model`;    - `universal clinical standard`;    - `real-time` sans definition hardware;    - `generalizable` sans split et validation externe. 3. Ajouter une section ""Normative language"" dans `EPIBENCH_SPEC_V1.md`."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,217,clinical_or_regulatory,clinically certified,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- Chaque terme cle a une definition d'une ou deux phrases. - Les termes interdits ont une alternative recommandee. - Aucun terme ne laisse croire qu'EpiBench remplace une evaluation clinique prospective.  ### Tests et validation  - Search textuel dans les docs pour `clinical certified`, `clinically certified`, `safe`, `ready`, `universal`. - Toute occurrence doit etre soit interdite explicitement, soit reformulee."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,478,edge_or_realtime,real-time,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,| Track | Nom | Question | Unite principale | Claim interdit si absent | | --- | --- | --- | --- | --- | | D | Detection | detecter une crise presente ou proche onset | event detection | forecasting claim | | W | Early warning | alarmer avant une fenetre utile | alarm episode + lead time | detection-only claim comme warning | | F | Forecasting | estimer risque futur SPH/SOP | calibrated risk window | detection claim direct | | E | Embedded viability | executer sur contrainte IoT | latency/memory/energy | real-time/edge claim |
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,553,scope_or_generality,generalize,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,"| Claim | Nom court | Definition | Exemples autorises | | --- | --- | --- | --- | | E0 | no claim | artefact non probant | mock data, run incomplet | | E1 | structural validity | pipeline/protocole fonctionne | labels/splits/test logic valides sur donnees non claimables | | E2-PD | patient-dependent narrow operation | claim intra-patient ou personnalise | ""within-patient detection under this dataset and sensor"" | | E2-PI | patient-independent narrow operation | claim nouveaux patients dans domaine borne | ""patient-independent detection on this dataset/sensor/seizure scope"" | | E3 | external generalization | claim externe/multisite | ""generalizes across dataset/site under declared scope"" | | E4 | prospective clinical-grade evidence | evidence prospective et clinique | ""prospectively validated under intended-use protocol"" |"
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,619,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"| labels unaudited | E1 | | leakage detected | E1 | | patient-dependent only | E2-PD | | patient-independent, no external | E2-PI | | patient-independent + external | E3 | | prospective clinical evidence | E4 candidate | | no hardware report | no edge/real-time claim |"
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,695,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,### Definition of Done  - Toutes les sentinels ont consequences explicites. - Les leakage sentinels bloquent E2+. - Missing failure trace bloque Run-Complete. - Hardware unmeasured bloque real-time/edge claims. - Les failures sont incluses dans le denominator ou dans un failure denominator specifique.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,845,scope_or_generality,generalize,bounded,bounded,No action if context remains explicitly anti-overclaim.,"Acceptance:  - E2-PD possible; - E2-PI interdit; - E3 interdit; - phrase ""generalizes to new patients"" interdite."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,864,edge_or_realtime,real-time,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,"- E3 interdit avec raison.  ### Test 5 - Hardware claim gate  Scenario:  - model reports ""real-time""; - no hardware report."
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,869,edge_or_realtime,real-time,bounded,bounded,No action if context remains explicitly anti-overclaim.,"- model reports ""real-time""; - no hardware report.  Acceptance:  - real-time claim interdit; - Edge-Measured interdit;"
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,904,clinical_or_regulatory,clinically certified,bounded,bounded,No action if context remains explicitly anti-overclaim.,Procedure:  Search dans les docs:  - `clinical-ready`; - `clinically certified`; - `safe`;
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,907,scope_or_generality,generalizable,bounded,bounded,No action if context remains explicitly anti-overclaim.,Search dans les docs:  - `clinical-ready`; - `clinically certified`; - `safe`; - `detects epilepsy`; - `generalizable`; - `real-time`.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,908,edge_or_realtime,real-time,requires_review,major,Review wording; add evidence boundary or remove unsupported claim.,- `clinical-ready`; - `clinically certified`; - `safe`; - `detects epilepsy`; - `generalizable`; - `real-time`.
docs/EPIBENCH_PHASE1_DETAILED_PLAN.md,920,sota_or_leaderboard,sota,bounded,bounded,No action if context remains explicitly anti-overclaim.,"## Validation scientifique finale  La Phase 1 doit se terminer par un ""Phase 1 closeout"" contenant:  ```text Phase 1 status: PASS / BLOCKED SOTA alignment: PASS MTS rubrics: PASS"
